DATAFLOW,LAST UPDATE,freq,species,pres,dest_use,unit,natvessr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,EU,IT,2015,120979.73,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,EU,IT,2016,55229.58,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,EU,IT,2017,45555.64,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,EU,IT,2018,627.42,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,EU,IT,2019,630.64,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,IT,IT,2015,120979.73,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,IT,IT,2016,55229.58,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,IT,IT,2017,45555.64,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,IT,IT,2018,627.42,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,IT,IT,2019,630.64,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,TOTAL,IT,2015,120979.73,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,TOTAL,IT,2016,55229.58,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,TOTAL,IT,2017,45555.64,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,TOTAL,IT,2018,627.42,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR,TOTAL,IT,2019,630.64,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,EU,IT,2015,5425.1,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,EU,IT,2016,4844.7,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,EU,IT,2017,4951.7,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,EU,IT,2018,3137.1,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,EU,IT,2019,3153.2,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,IT,IT,2015,5425.1,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,IT,IT,2016,4844.7,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,IT,IT,2017,4951.7,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,IT,IT,2018,3137.1,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,IT,IT,2019,3153.2,p,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,TOTAL,IT,2015,5425.1,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,TOTAL,IT,2016,4844.7,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,TOTAL,IT,2017,4951.7,,
ESTAT:FISH_LD_IT(1.0),04/04/25 11:00:00,A,AGK,FRE,HCN,EUR_T,TOTAL,IT,2018,3137.1,p,
